
                  Name                              Version               Type    
────────────────────────────────────────────────────────────────────────────────────
  abbrev                                 2.0.0                           npm      
  abseil                                 20220623.1-1                    deb      
  acl                                    2.3.1-3                         deb      
  addr2line                              (devel)                         golang   
  adduser                                3.134                           deb      
  agent                                  2.2.2                           npm      
  agent-base                             7.1.1                           npm      
  aggregate-error                        3.1.0                           npm      
  ansi-regex                             5.0.1                           npm      
  ansi-regex                             6.0.1                           npm      
  ansi-styles                            4.3.0                           npm      
  ansi-styles                            6.2.1                           npm      
  aom                                    3.6.0-1                         deb      
  apr                                    1.7.2-3                         deb      
  apr-util                               1.6.3-1                         deb      
  aproba                                 2.0.0                           npm      
  apt                                    2.6.1                           deb      
  apt-transport-https                    2.6.1                           deb      
  arborist                               7.5.1                           npm      
  archy                                  1.0.0                           npm      
  asm                                    (devel)                         golang   
  attr                                   1:2.5.1-4                       deb      
  audit                                  1:3.0.9-1                       deb      
  balanced-match                         1.0.2                           npm      
  base-files                             12.4+deb12u5                    deb      
  base-passwd                            3.6.1                           deb      
  bash                                   5.2.15-2+b2                     deb      
  bin-links                              4.0.3                           npm      
  binary-extensions                      2.3.0                           npm      
  binutils                               2.40-2                          deb      
  binutils-common                        2.40-2                          deb      
  binutils-x86-64-linux-gnu              2.40-2                          deb      
  brace-expansion                        2.0.1                           npm      
  brotli                                 1.0.9-2                         deb      
  bsdutils                               1:2.38.1-5+deb12u1              deb      
  buildid                                (devel)                         golang   
  builtins                               5.1.0                           npm      
  bundle                                 2.3.1                           npm      
  bzip2                                  1.0.8-5                         deb      
  ca-certificates                        20230311                        deb      
  cacache                                18.0.2                          npm      
  canonical-json                         2.0.0                           npm      
  cdebconf                               0.270                           deb      
  cgo                                    (devel)                         golang   
  chalk                                  5.3.0                           npm      
  chownr                                 2.0.0                           npm      
  ci-info                                4.0.0                           npm      
  cidr-regex                             4.0.5                           npm      
  clean-stack                            2.2.0                           npm      
  cli                                    (devel)                         golang   
  cli-columns                            4.0.0                           npm      
  cliui                                  8.0.2                           npm      
  cmake                                  3.25.1-1                        deb      
  cmake-data                             3.25.1-1                        deb      
  cmd-shim                               6.0.2                           npm      
  color-convert                          2.0.1                           npm      
  color-name                             1.1.4                           npm      
  common-ancestor-path                   1.0.1                           npm      
  compile                                (devel)                         golang   
  config                                 8.3.1                           npm      
  core                                   1.1.0                           npm      
  corepack                               0.28.1                          npm      
  coreutils                              9.1-1                           deb      
  covdata                                (devel)                         golang   
  cover                                  (devel)                         golang   
  cpp                                    4:12.2.0-3                      deb      
