NAME                                VERSION                         TYPE   
@colors/colors                      1.5.0                           npm     
@gar/promisify                      1.1.3                           npm     
@isaacs/string-locale-compare       1.1.0                           npm     
@npmcli/arborist                    6.2.3                           npm     
@npmcli/config                      6.1.3                           npm     
@npmcli/disparity-colors            3.0.0                           npm     
@npmcli/fs                          2.1.2                           npm     
@npmcli/fs                          3.1.0                           npm     
@npmcli/git                         4.0.3                           npm     
@npmcli/installed-package-contents  2.0.1                           npm     
@npmcli/map-workspaces              3.0.2                           npm     
@npmcli/metavuln-calculator         5.0.0                           npm     
@npmcli/move-file                   2.0.1                           npm     
@npmcli/name-from-folder            2.0.0                           npm     
@npmcli/node-gyp                    3.0.0                           npm     
@npmcli/package-json                3.0.0                           npm     
@npmcli/promise-spawn               6.0.2                           npm     
@npmcli/query                       3.0.0                           npm     
@npmcli/run-script                  6.0.0                           npm     
@tootallnate/once                   2.0.0                           npm     
abbrev                              1.1.1                           npm     
abbrev                              2.0.0                           npm     
abort-controller                    3.0.0                           npm     
adduser                             3.118                           deb     
agent-base                          6.0.2                           npm     
agentkeepalive                      4.2.1                           npm     
aggregate-error                     3.1.0                           npm     
ansi-regex                          5.0.1                           npm     
ansi-styles                         4.3.0                           npm     
aproba                              2.0.0                           npm     
apt                                 2.2.4                           deb     
archy                               1.0.0                           npm     
are-we-there-yet                    3.0.1                           npm     
are-we-there-yet                    4.0.0                           npm     
balanced-match                      1.0.2                           npm     
base-files                          11.1+deb11u7                    deb     
base-passwd                         3.5.51                          deb     
base64-js                           1.5.1                           npm     
bash                                5.1-2+deb11u1                   deb     
bin-links                           4.0.1                           npm     
binary-extensions                   2.2.0                           npm     
binutils                            2.35.2-2                        deb     
binutils-aarch64-linux-gnu          2.35.2-2                        deb     
binutils-common                     2.35.2-2                        deb     
brace-expansion                     1.1.11                          npm     
brace-expansion                     2.0.1                           npm     
bsdutils                            1:2.36.1-8+deb11u1              deb     
buffer                              6.0.3                           npm     
builtins                            5.0.1                           npm     
ca-certificates                     20210119                        deb     
cacache                             16.1.3                          npm     
cacache                             17.0.4                          npm     
chalk                               4.1.2                           npm     
chownr                              2.0.0                           npm     
ci-info                             3.8.0                           npm     
cidr-regex                          3.1.1                           npm     
clean-stack                         2.2.0                           npm     
cli-columns                         4.0.0                           npm     
cli-table3                          0.6.3                           npm     
clone                               1.0.4                           npm     
cmake                               3.18.4-2+deb11u1                deb     
cmake-data                          3.18.4-2+deb11u1                deb     
cmd-shim                            6.0.1                           npm     
color-convert                       2.0.1                           npm     
color-name                          1.1.4                           npm     
color-support                       1.1.3                           npm     
columnify                           1.6.0                           npm     
common-ancestor-path                1.0.1                           npm     
concat-map                          0.0.1                           npm     
console-control-strings             1.1.0                           npm     
corepack                            0.17.0                          npm     
coreutils                           8.32-4                          deb     
cpp                                 4:10.2.1-1                      deb     
cpp-10                              10.2.1-6                        deb     
cssesc                              3.0.0                           npm     
curl                                7.74.0-1.3+deb11u7              deb     
d3-pprof                            2.0.0                           npm     
dash                                0.5.11+git20200708+dd9ef66-5    deb     
debconf                             1.5.77                          deb     
debian-archive-keyring              2021.1.1+deb11u1                deb     
debianutils                         4.11.2                          deb     
debug                               4.3.4                           npm     
defaults                            1.0.4                           npm     
delegates                           1.0.0                           npm     
depd                                1.1.2                           npm     
diff                                5.1.0                           npm     
diffutils                           1:3.7-5                         deb     
dirmngr                             2.2.27-2+deb11u2                deb     
distro-info-data                    0.51+deb11u3                    deb     
docker-ce-cli                       5:24.0.4-1~debian.11~bullseye   deb     
dpkg                                1.20.12                         deb     
e2fsprogs                           1.46.2-2                        deb     
emoji-regex                         8.0.0                           npm     
encoding                            0.1.13                          npm     
env-paths                           2.2.1                           npm     
err-code                            2.0.3                           npm     
event-target-shim                   5.0.1                           npm     
events                              3.3.0                           npm     
fastest-levenshtein                 1.0.16                          npm     
findutils                           4.8.0-1                         deb     
fs-minipass                         2.1.0                           npm     
fs-minipass                         3.0.1                           npm     
fs.realpath                         1.0.0                           npm     
function-bind                       1.1.1                           npm     
g++                                 4:10.2.1-1                      deb     
g++-10                              10.2.1-6                        deb     
gauge                               4.0.4                           npm     
gauge                               5.0.0                           npm     
gcc                                 4:10.2.1-1                      deb     
gcc-10                              10.2.1-6                        deb     
gcc-10-base                         10.2.1-6                        deb     
gcc-9-base                          9.3.0-22                        deb     
git                                 1:2.30.2-1+deb11u2              deb     
git-man                             1:2.30.2-1+deb11u2              deb     
glob                                7.2.3                           npm     
glob                                8.1.0                           npm     
gnupg                               2.2.27-2+deb11u2                deb     
