NAME                                                                          VERSION                                              TYPE      
@colors/colors                                                                1.5.0                                                npm
@gar/promisify                                                                1.1.3                                                npm
@isaacs/string-locale-compare                                                 1.1.0                                                npm
@npmcli/arborist                                                              5.6.2                                                npm
@npmcli/ci-detect                                                             2.0.0                                                npm
@npmcli/config                                                                4.2.2                                                npm
@npmcli/disparity-colors                                                      2.0.0                                                npm
@npmcli/fs                                                                    2.1.2                                                npm
@npmcli/git                                                                   3.0.2                                                npm
@npmcli/installed-package-contents                                            1.0.7                                                npm
@npmcli/map-workspaces                                                        2.0.4                                                npm
@npmcli/metavuln-calculator                                                   3.1.1                                                npm
@npmcli/move-file                                                             2.0.1                                                npm
@npmcli/name-from-folder                                                      1.0.1                                                npm
@npmcli/node-gyp                                                              2.0.0                                                npm
@npmcli/package-json                                                          2.0.0                                                npm
@npmcli/promise-spawn                                                         3.0.0                                                npm
@npmcli/query                                                                 1.2.0                                                npm
@npmcli/run-script                                                            4.2.1                                                npm
@tootallnate/once                                                             2.0.0                                                npm
abbrev                                                                        1.1.1                                                npm
adduser                                                                       3.118                                                deb
agent-base                                                                    6.0.2                                                npm
agentkeepalive                                                                4.2.1                                                npm
aggregate-error                                                               3.1.0                                                npm
ansi-regex                                                                    5.0.1                                                npm
ansi-styles                                                                   4.3.0                                                npm
aproba                                                                        2.0.0                                                npm
apt                                                                           2.2.4                                                deb
archy                                                                         1.0.0                                                npm
are-we-there-yet                                                              3.0.1                                                npm
asap                                                                          2.0.6                                                npm
balanced-match                                                                1.0.2                                                npm
base-files                                                                    11.1+deb11u5                                         deb
base-passwd                                                                   3.5.51                                               deb
bash                                                                          5.1-2+deb11u1                                        deb
bin-links                                                                     3.0.3                                                npm
binary-extensions                                                             2.2.0                                                npm
binutils                                                                      2.39-8                                               deb
binutils-common                                                               2.39-8                                               deb
binutils-x86-64-linux-gnu                                                     2.39-8                                               deb
brace-expansion                                                               1.1.11                                               npm
brace-expansion                                                               2.0.1                                                npm
bsdutils                                                                      1:2.36.1-8+deb11u1                                   deb
builtins                                                                      5.0.1                                                npm
ca-certificates                                                               20211016                                             deb
cacache                                                                       16.1.3                                               npm
chalk                                                                         4.1.2                                                npm
chownr                                                                        2.0.0                                                npm
cidr-regex                                                                    3.1.1                                                npm
clean-stack                                                                   2.2.0                                                npm
cli-columns                                                                   4.0.0                                                npm
cli-table3                                                                    0.6.2                                                npm
clone                                                                         1.0.4                                                npm
cloud.google.com/go                                                           v0.81.0                                              go-module
cmake                                                                         3.25.0-3                                             deb
cmake-data                                                                    3.25.0-3                                             deb
cmd-shim                                                                      5.0.0                                                npm
color-convert                                                                 2.0.1                                                npm
color-name                                                                    1.1.4                                                npm
color-support                                                                 1.1.3                                                npm
columnify                                                                     1.6.0                                                npm
common-ancestor-path                                                          1.0.1                                                npm
concat-map                                                                    0.0.1                                                npm
console-control-strings                                                       1.1.0                                                npm
corepack                                                                      0.14.2                                               npm
coreutils                                                                     8.32-4+b1                                            deb
cpp                                                                           4:12.2.0-1                                           deb
cpp-10                                                                        10.2.1-6                                             deb
cpp-12                                                                        12.2.0-9                                             deb
cssesc                                                                        3.0.0                                                npm
curl                                                                          7.86.0-2                                             deb
d3-pprof                                                                      2.0.0                                                npm
dash                                                                          0.5.11+git20200708+dd9ef66-5                         deb
debconf                                                                       1.5.77                                               deb
debian-archive-keyring                                                        2021.1.1                                             deb
debianutils                                                                   4.11.2                                               deb
debug                                                                         4.3.4                                                npm
debuglog                                                                      1.0.1                                                npm
defaults                                                                      1.0.3                                                npm
delegates                                                                     1.0.0                                                npm
depd                                                                          1.1.2                                                npm
dezalgo                                                                       1.0.4                                                npm
diff                                                                          5.1.0                                                npm
diffutils                                                                     1:3.7-5                                              deb
dirmngr                                                                       2.2.40-1                                             deb
docker-ce-cli                                                                 5:20.10.21~3-0~debian-bullseye                       deb
dpkg                                                                          1.20.12                                              deb
e2fsprogs                                                                     1.46.2-2                                             deb
emoji-regex                                                                   8.0.0                                                npm
encoding                                                                      0.1.13                                               npm
env-paths                                                                     2.2.1                                                npm
err-code                                                                      2.0.3                                                npm
fastest-levenshtein                                                           1.0.12                                               npm
findutils                                                                     4.8.0-1                                              deb
fs-minipass                                                                   2.1.0                                                npm
fs.realpath                                                                   1.0.0                                                npm
function-bind                                                                 1.1.1                                                npm
g++                                                                           4:12.2.0-1                                           deb
g++-10                                                                        10.2.1-6                                             deb
g++-12                                                                        12.2.0-9                                             deb
gauge                                                                         4.0.4                                                npm
gcc                                                                           4:12.2.0-1                                           deb
gcc-10                                                                        10.2.1-6                                             deb
